epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.36328,1.75936,3.29268,1.86861,0.90781,0.04664,0.235,0.09498,1.89766,3.6937,1.98589,0.000325,0.000325,0.000325
2,13.0179,1.64617,2.31071,1.7349,0.67115,0.30878,0.31253,0.13655,1.99388,2.92785,2.036,0.000651816,0.000651816,0.000651816
3,17.7259,1.62236,2.12787,1.69932,0.54096,0.31926,0.22201,0.08526,2.23634,3.25654,2.4694,0.000972032,0.000972032,0.000972032
4,22.3205,1.62196,2.04471,1.68467,0.44391,0.34323,0.31485,0.13222,2.06758,3.36611,2.22054,0.0009703,0.0009703,0.0009703
5,26.8357,1.61672,1.95544,1.67568,0.56646,0.25337,0.3151,0.13949,2.01034,2.78614,1.96617,0.0009604,0.0009604,0.0009604
6,31.4024,1.60488,1.88504,1.66048,0.75746,0.37005,0.45551,0.21359,1.86328,2.12976,1.85844,0.0009505,0.0009505,0.0009505
7,36.0213,1.5465,1.79329,1.6312,0.58273,0.37105,0.38739,0.16119,2.13492,2.6913,2.22179,0.0009406,0.0009406,0.0009406
8,40.5324,1.56208,1.74444,1.62616,0.49181,0.41705,0.43301,0.19343,1.90461,2.44556,1.99771,0.0009307,0.0009307,0.0009307
9,45.0438,1.52374,1.70753,1.60668,0.69885,0.46908,0.57807,0.27973,1.72102,1.79955,1.73977,0.0009208,0.0009208,0.0009208
10,49.7461,1.50583,1.63073,1.58237,0.62622,0.39948,0.41469,0.17502,2.1327,2.47508,2.15531,0.0009109,0.0009109,0.0009109
11,54.2538,1.49713,1.60432,1.58861,0.72422,0.43959,0.47987,0.22655,1.97303,1.87866,1.92075,0.000901,0.000901,0.000901
12,58.7126,1.46754,1.59995,1.57759,0.76433,0.52106,0.61626,0.30959,1.73271,1.69613,1.7442,0.0008911,0.0008911,0.0008911
13,63.2379,1.47182,1.55286,1.5643,0.65806,0.46017,0.46564,0.19056,2.08846,2.06251,1.90771,0.0008812,0.0008812,0.0008812
14,67.7611,1.49158,1.56125,1.57006,0.70538,0.47411,0.55801,0.24493,1.92975,1.8591,1.94268,0.0008713,0.0008713,0.0008713
15,72.2367,1.46088,1.54809,1.56345,0.60328,0.57168,0.60789,0.31033,1.71917,1.57217,1.69922,0.0008614,0.0008614,0.0008614
16,76.7935,1.46422,1.51437,1.56092,0.64434,0.51732,0.59586,0.28692,1.80897,1.62324,1.80738,0.0008515,0.0008515,0.0008515
17,81.2398,1.43881,1.52062,1.56039,0.51672,0.44757,0.49054,0.2306,1.99497,2.18007,2.03146,0.0008416,0.0008416,0.0008416
18,85.7262,1.442,1.51075,1.53999,0.50539,0.62896,0.60187,0.31062,1.67849,1.61591,1.70287,0.0008317,0.0008317,0.0008317
19,90.3103,1.44782,1.49117,1.55117,0.66218,0.5309,0.58928,0.26871,1.97044,1.82318,1.96339,0.0008218,0.0008218,0.0008218
20,94.8541,1.42979,1.44774,1.53347,0.54238,0.53595,0.5189,0.24734,1.862,1.82333,1.8331,0.0008119,0.0008119,0.0008119
21,99.3684,1.4139,1.4547,1.54029,0.68531,0.53675,0.64933,0.33904,1.67248,1.46756,1.69656,0.000802,0.000802,0.000802
22,104.01,1.41733,1.41894,1.527,0.65727,0.53986,0.60465,0.30999,1.70158,1.54168,1.73122,0.0007921,0.0007921,0.0007921
23,108.488,1.38764,1.39648,1.50898,0.73659,0.54998,0.6326,0.32075,1.73959,1.54679,1.73988,0.0007822,0.0007822,0.0007822
24,112.968,1.40352,1.42254,1.52178,0.69247,0.56576,0.64875,0.34359,1.68171,1.58158,1.72854,0.0007723,0.0007723,0.0007723
25,117.522,1.38307,1.39434,1.50676,0.60367,0.63755,0.6709,0.35467,1.59381,1.44761,1.61155,0.0007624,0.0007624,0.0007624
26,122.189,1.38126,1.36877,1.50908,0.64433,0.63467,0.66542,0.35336,1.64369,1.44281,1.67444,0.0007525,0.0007525,0.0007525
27,126.812,1.38103,1.3953,1.49623,0.64375,0.58375,0.6423,0.33807,1.68532,1.46763,1.66755,0.0007426,0.0007426,0.0007426
28,131.35,1.3948,1.42738,1.52157,0.64399,0.60853,0.64485,0.33658,1.62468,1.45527,1.63023,0.0007327,0.0007327,0.0007327
29,135.886,1.39377,1.37727,1.5034,0.79942,0.51319,0.65202,0.35085,1.64702,1.41612,1.661,0.0007228,0.0007228,0.0007228
30,140.369,1.35287,1.33676,1.47477,0.67632,0.53893,0.63848,0.32915,1.76693,1.53611,1.71531,0.0007129,0.0007129,0.0007129
31,144.967,1.34773,1.34896,1.49909,0.6146,0.63982,0.66238,0.3505,1.60373,1.41176,1.61049,0.000703,0.000703,0.000703
32,149.569,1.37321,1.34967,1.49642,0.64574,0.67793,0.70423,0.36432,1.62695,1.34447,1.62679,0.0006931,0.0006931,0.0006931
33,154.175,1.35535,1.33836,1.48666,0.65751,0.55787,0.64652,0.33896,1.68663,1.4803,1.69664,0.0006832,0.0006832,0.0006832
34,158.748,1.36062,1.32813,1.48735,0.57572,0.65281,0.67539,0.3709,1.57048,1.44709,1.61995,0.0006733,0.0006733,0.0006733
35,163.418,1.34323,1.32862,1.47698,0.59946,0.61902,0.66047,0.33345,1.68639,1.52463,1.68456,0.0006634,0.0006634,0.0006634
36,167.974,1.36706,1.32434,1.48903,0.59678,0.64256,0.6757,0.36491,1.62183,1.37824,1.62594,0.0006535,0.0006535,0.0006535
37,172.473,1.34584,1.29259,1.48171,0.64098,0.63613,0.67337,0.35872,1.63514,1.38902,1.66947,0.0006436,0.0006436,0.0006436
38,176.927,1.3629,1.32461,1.48769,0.57151,0.63309,0.64019,0.32855,1.68034,1.48603,1.67054,0.0006337,0.0006337,0.0006337
39,181.401,1.32347,1.27974,1.45925,0.66392,0.64983,0.69589,0.37228,1.66163,1.36881,1.65392,0.0006238,0.0006238,0.0006238
40,185.972,1.3368,1.30322,1.48367,0.6456,0.62107,0.66559,0.35366,1.65781,1.44467,1.66971,0.0006139,0.0006139,0.0006139
41,190.439,1.32794,1.27477,1.46987,0.61094,0.6486,0.68053,0.36125,1.58845,1.35359,1.64054,0.000604,0.000604,0.000604
42,194.914,1.30881,1.24683,1.46012,0.67291,0.66953,0.70787,0.37911,1.59423,1.2995,1.61428,0.0005941,0.0005941,0.0005941
