epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.23949,1.17488,1.34051,1.18948,0.66518,0.51758,0.6051,0.44548,1.09073,1.12371,1.1233,8.33e-06,8.33e-06,8.33e-06
2,5.46756,1.16806,1.44399,1.20834,0.67927,0.53563,0.62676,0.46296,1.08444,1.09481,1.11969,1.60829e-05,1.60829e-05,1.60829e-05
3,6.85925,1.16776,1.34289,1.19341,0.66865,0.55461,0.64168,0.47397,1.08024,1.07788,1.1176,2.19507e-05,2.19507e-05,2.19507e-05
4,8.68338,1.18294,1.2757,1.19391,0.69692,0.56269,0.66293,0.49187,1.07325,1.0524,1.11243,2.59337e-05,2.59337e-05,2.59337e-05
5,10.1551,1.13927,1.29513,1.17068,0.69109,0.57993,0.67837,0.50519,1.06533,1.0269,1.10478,2.80316e-05,2.80316e-05,2.80316e-05
6,11.5281,1.13071,1.26683,1.18059,0.67224,0.61966,0.69114,0.51705,1.05499,1.00347,1.09663,2.82447e-05,2.82447e-05,2.82447e-05
7,12.8108,1.10879,1.14351,1.16797,0.6573,0.62859,0.69746,0.52221,1.04664,0.98709,1.09355,2.65727e-05,2.65727e-05,2.65727e-05
8,14.3066,1.11644,1.22112,1.18319,0.62687,0.65998,0.70208,0.52724,1.04062,0.97271,1.09077,2.30158e-05,2.30158e-05,2.30158e-05
9,15.5637,1.07033,1.13498,1.14763,0.6453,0.66219,0.7075,0.53206,1.0356,0.96064,1.08777,1.75739e-05,1.75739e-05,1.75739e-05
10,16.8245,1.06126,1.11542,1.12172,0.64224,0.66829,0.70657,0.53171,1.03458,0.9575,1.08649,1.02471e-05,1.02471e-05,1.02471e-05
